id,username,profile_image_url,following,followed_by
19406877,CCBB_DF,https://pbs.twimg.com/profile_images/885892153515364352/Igg5msxa_400x400.jpg,132,jlo06
785225705999175680,NivaldoLopo,https://pbs.twimg.com/profile_images/1090811422865588224/rcRC1tdU_400x400.jpg,99,jlo06
2559692701,ggcocao,https://pbs.twimg.com/profile_images/653204009025675264/Z0jsUtK1_400x400.jpg,174,jlo06
1686153229,eugoku,https://pbs.twimg.com/profile_images/1078278632290832386/nOeGNCpC_400x400.jpg,282,jlo06
60367394,yagorander,https://pbs.twimg.com/profile_images/1129114586035183616/b8uLEtn3_400x400.jpg,896,jlo06
4774583973,OBQDC,https://pbs.twimg.com/profile_images/686544359710392320/tVfIszbU_400x400.jpg,422,jlo06
298199470,rafanoli,https://pbs.twimg.com/profile_images/1128334770289684481/q-A1z0dv_400x400.jpg,865,jlo06
316561533,analuiiiiiisa,https://pbs.twimg.com/profile_images/1016300333289615360/d2WOWF9b_400x400.jpg,221,jlo06
4822660114,paulamirand_,https://pbs.twimg.com/profile_images/1136637620426039296/tSNcON9E_400x400.jpg,391,jlo06
64281139,kathiannenivan,https://pbs.twimg.com/profile_images/942517130955776001/zlYTNh5S_400x400.jpg,24,jlo06
74242496,loboartur,https://pbs.twimg.com/profile_images/1099699271706820608/ISEGL30P_400x400.jpg,161,jlo06
1472684030,Fvilelas,https://pbs.twimg.com/profile_images/496994488276250625/n8G1a_23_400x400.jpeg,53,jlo06
35354091,mandyGC,https://pbs.twimg.com/profile_images/811575101326065664/0GVocjEP_400x400.jpg,202,jlo06
62662823,VinixKappler,https://pbs.twimg.com/profile_images/891673198294597634/xdqSEuBf_400x400.jpg,1994,jlo06
89030718,7lucasv,https://pbs.twimg.com/profile_images/981615535497543685/IlJY9xza_400x400.jpg,29,jlo06
66142145,IzabMe,https://pbs.twimg.com/profile_images/1132635277346975744/i5eDfNBt_400x400.jpg,431,jlo06
156721917,soujorge,https://pbs.twimg.com/profile_images/1123848800823648260/EZ4n6xrW_400x400.jpg,366,jlo06
35015510,nando_reis,https://pbs.twimg.com/profile_images/1103803151138897920/G0s71ODf_400x400.png,77,jlo06
14946999,MariMoon,https://pbs.twimg.com/profile_images/1121299526734815233/22Q9qszU_400x400.jpg,1078,jlo06
314792669,pinkfloyd,https://pbs.twimg.com/profile_images/1406636192/pfimage_400x400.jpg,259,jlo06
92721929,sleepysunmusic,https://pbs.twimg.com/profile_images/855888984337022976/cEB_34Nc_400x400.jpg,605,jlo06
36426337,cbjroficial,https://pbs.twimg.com/profile_images/970728459860414465/IK8rdaOz_400x400.jpg,41,jlo06
57778499,JimiHendrix,https://pbs.twimg.com/profile_images/1127964417881063424/5X65sRBr_400x400.png,136,jlo06
238475531,Metallica,https://pbs.twimg.com/profile_images/766360293953802240/kt0hiSmv_400x400.jpg,31,jlo06
55968048,iza_butrago,https://pbs.twimg.com/profile_images/1137889484677222401/QyQRLj51_400x400.jpg,248,jlo06
2975944672,Jukeslol,https://pbs.twimg.com/profile_images/1108814798635057152/P8qYEQvJ_400x400.png,498,marcelooboca
2743647168,hastadlol,https://pbs.twimg.com/profile_images/1126219322928652290/GrwQ7-YV_400x400.jpg,775,marcelooboca
1050174967298629633,HaddadDebochado,https://pbs.twimg.com/profile_images/1057950077690490880/Ww_CDfNF_400x400.jpg,320,marcelooboca
838982856,yohanna_alvesb,https://pbs.twimg.com/profile_images/1129812243636523008/iMW1UUup_400x400.jpg,161,marcelooboca
4228776252,carols0usac,https://pbs.twimg.com/profile_images/1138450631151276035/-azwFwgH_400x400.jpg,262,marcelooboca
53235869,sennaty,https://pbs.twimg.com/profile_images/1134467143590907904/LfwvKxhK_400x400.jpg,1017,marcelooboca
846199759304056836,AlemDoCume,https://pbs.twimg.com/profile_images/1138515701122121728/2ZmiPSGo_400x400.png,104,marcelooboca
976838257974697984,Ilovesexys1,https://pbs.twimg.com/profile_images/1086843859861159937/mXswVQuF_400x400.jpg,7,marcelooboca
288993711,nakomyna,https://pbs.twimg.com/profile_images/1140169158631546881/pP-4GaBV_400x400.jpg,153,marcelooboca
14128609,felipeneto,https://pbs.twimg.com/profile_images/1092457207642419201/N0lUcni8_400x400.jpg,642,marcelooboca
1116796762461757440,filhamaisvelha,https://pbs.twimg.com/profile_images/1136076123052417024/F6RbgheH_400x400.jpg,97,marcelooboca
298199470,rafanoli,https://pbs.twimg.com/profile_images/1128334770289684481/q-A1z0dv_400x400.jpg,865,marcelooboca
52844501,fernandoandross,https://pbs.twimg.com/profile_images/1090984340471926784/xXjoimT0_400x400.jpg,365,marcelooboca
66860195,GustavoLimaxD,https://pbs.twimg.com/profile_images/1126243792741445632/c4CeLheu_400x400.jpg,990,marcelooboca
1052011819953545217,bruna_hartz,https://pbs.twimg.com/profile_images/1139647692689350658/dWr_aGfd_400x400.jpg,86,marcelooboca
628940713,jessicasestrem_,https://pbs.twimg.com/profile_images/1136501923794817024/G4RALnOo_400x400.jpg,2306,marcelooboca
227496948,guigon121,https://pbs.twimg.com/profile_images/1064255533291642880/zRwcHOzE_400x400.jpg,300,marcelooboca
1056228031,heloCpiress,https://pbs.twimg.com/profile_images/1140810293523681281/xgAsFEGl_400x400.jpg,466,marcelooboca
537481944,ZNC_Oficial,https://pbs.twimg.com/profile_images/1085159014684610561/7UQWFwMU_400x400.jpg,129,marcelooboca
77382273,MaiaraeMaraisa,https://pbs.twimg.com/profile_images/1073267120098684928/G0OKY54E_400x400.jpg,995,marcelooboca
166315863,insoonia,https://pbs.twimg.com/profile_images/2404844390/hghd317doqt46qn3gwru_400x400.jpeg,266,marcelooboca
85154456,barbarasdmm,https://pbs.twimg.com/profile_images/1135597115286130688/GZPTCw4W_400x400.jpg,91,marcelooboca
2771375943,flucasqueiroz,https://pbs.twimg.com/profile_images/1104591100642295808/KFMdWeZy_400x400.jpg,386,marcelooboca
2482649694,Cr1ss__,https://pbs.twimg.com/profile_images/1131251055113711617/tNST6gGj_400x400.jpg,827,marcelooboca
14594698,UOLNoticias,https://pbs.twimg.com/profile_images/848968336482369536/H_YGiU3U_400x400.jpg,71,marcelooboca
4822660114,paulamirand_,https://pbs.twimg.com/profile_images/1136637620426039296/tSNcON9E_400x400.jpg,391,marcelooboca
1317495384,jlo06,https://pbs.twimg.com/profile_images/1112104474263334913/SGYUcH0l_400x400.jpg,83,marcelooboca
822219566,LoLegendsBR,https://pbs.twimg.com/profile_images/1138926559228772352/gPjaziFc_400x400.png,68,marcelooboca
2903905268,lolesportsbr,https://pbs.twimg.com/profile_images/1130527299676385280/aT50i0ma_400x400.png,566,marcelooboca
7157132,GameSpot,https://pbs.twimg.com/profile_images/692411160470118400/E9crfJih_400x400.png,617,marcelooboca
562931066,bial0pess,https://pbs.twimg.com/profile_images/1135607176779698182/ihdFvU9b_400x400.jpg,1001,marcelooboca
14594813,folha,https://pbs.twimg.com/profile_images/1067848966010744833/7miLxOGo_400x400.jpg,182298,marcelooboca
54341363,JornalOGlobo,https://pbs.twimg.com/profile_images/1000081555690319872/hyNVFJYA_400x400.jpg,7943,marcelooboca
62662823,VinixKappler,https://pbs.twimg.com/profile_images/891673198294597634/xdqSEuBf_400x400.jpg,1993,marcelooboca
393538627,LethiiGoncalves,https://pbs.twimg.com/profile_images/1046752288960892929/IpKD-CCF_400x400.jpg,730,marcelooboca
2373906193,mssiqueira97,https://pbs.twimg.com/profile_images/771162677594947585/V8emR7Xp_400x400.jpg,146,marcelooboca
1083297852066017281,ludibela1,https://pbs.twimg.com/profile_images/1083298311929511936/2Mi_ixBf_400x400.jpg,25,marcelooboca
2448456992,Lucas_sg1,https://pbs.twimg.com/profile_images/1095353223093858306/5qonaWPk_400x400.jpg,293,marcelooboca
1115612130504372224,Lincolnbloodym1,https://pbs.twimg.com/profile_images/1116341871981342720/YSocP5A0_400x400.jpg,6,marcelooboca
884195451364397056,lopes_dudaaa,https://pbs.twimg.com/profile_images/1140708536021913600/pnG9_90b_400x400.jpg,180,marcelooboca
3020040382,EmilynBruna,https://pbs.twimg.com/profile_images/1133743241466134528/dlBVeosM_400x400.jpg,296,marcelooboca
1372630884,luanalysle,https://pbs.twimg.com/profile_images/1116180642230882305/u5RXdQ_r_400x400.jpg,444,marcelooboca
2898424503,oldnet2009,https://pbs.twimg.com/profile_images/1116802619824119808/YK0aHSSV_400x400.png,27,marcelooboca
884408833803784192,aline_rsr,https://pbs.twimg.com/profile_images/1138501465159426048/pEYsifmD_400x400.jpg,177,marcelooboca
840617138331242497,ana_anameneses,https://pbs.twimg.com/profile_images/1140779877907488768/tTqWcyuu_400x400.jpg,817,marcelooboca
1426474279,dd_almeiida,https://pbs.twimg.com/profile_images/1140932593103360001/VEFssSjb_400x400.jpg,430,marcelooboca
70769408,jeiadosanjos,https://pbs.twimg.com/profile_images/1140194840183025664/HF6COJ5V_400x400.jpg,278,marcelooboca
1036755362374934529,meunomeehcaio,https://pbs.twimg.com/profile_images/1132435420929769477/Y7Jypex5_400x400.png,262,marcelooboca
69588362,Botafogo,https://pbs.twimg.com/profile_images/1095358323715702784/MEhNKQZ0_400x400.jpg,122,marcelooboca
62946224,gabrielfilipe7,https://pbs.twimg.com/profile_images/1035770404420431873/psLDCsSn_400x400.jpg,96,marcelooboca
450062634,ygor_tg,https://pbs.twimg.com/profile_images/1093267605257945102/3uBiP2Km_400x400.jpg,79,marcelooboca
230186518,whindersson,https://pbs.twimg.com/profile_images/1093117966261080065/NB_iVGsi_400x400.jpg,1073,marcelooboca
976987089823764481,oalezoun,https://pbs.twimg.com/profile_images/1014662673433268224/OfuqhrEK_400x400.jpg,109,marcelooboca
897198640061714434,tragosdeamor,https://pbs.twimg.com/profile_images/1125785783749812225/VcYCWftR_400x400.jpg,157,marcelooboca
231579149,NetflixBrasil,https://pbs.twimg.com/profile_images/1140728259728039941/ywCbozOI_400x400.png,310,marcelooboca
4625692649,Jovirone1,https://pbs.twimg.com/profile_images/1122893020007936000/dj7KE-mS_400x400.jpg,329,marcelooboca
86545772,alegaules,https://pbs.twimg.com/profile_images/1073505826097299456/C3cdVQIM_400x400.jpg,652,marcelooboca
946779529896497152,umidiotao,https://pbs.twimg.com/profile_images/1134897888188874753/aWOf9IKI_400x400.jpg,22740,marcelooboca
2506919725,gratis150pdl,https://pbs.twimg.com/profile_images/1023357505823539200/ajzGJbg1_400x400.jpg,925,marcelooboca
764579337580453888,textoscrueis,https://pbs.twimg.com/profile_images/1125866203011059719/Vtma9PeY_400x400.jpg,1189,marcelooboca
1102783832472850433,AnneThereza2,https://pbs.twimg.com/profile_images/1137468692684558336/h1bzLUAh_400x400.jpg,212,marcelooboca
1124760440284884992,coura_thales,https://pbs.twimg.com/profile_images/1124760806254632966/7xOzcsZy_400x400.jpg,49,marcelooboca
196627975,firibeiro7,https://pbs.twimg.com/profile_images/1137470490438754304/lWwIIfCd_400x400.jpg,100,marcelooboca
262425183,amand0ca_,https://pbs.twimg.com/profile_images/1141068854539575296/nmBqrepE_400x400.jpg,734,marcelooboca
1012867184874393602,digneco,https://pbs.twimg.com/profile_images/1036283822491557895/Eg-mz5IY_400x400.jpg,189,marcelooboca
1022610074496323585,Leandro_lca94,https://pbs.twimg.com/profile_images/1022614586242080768/yVoKK71n_400x400.jpg,101,marcelooboca
